"","season","avgsp"
"1","1992",448.303752875
"2","1993",461.245831916667
"3","1994",501.945004666667
"4","1995",632.918329916667
"5","1996",801.0833385
"6","1997",1027.78833508333
"7","1998",1247.64499925
"8","1999",1419.95000216667
"9","2000",1278.49081408333
"10","2001",1061.17832425
"11","2002",909.627507583333
"12","2003",1099.488322
"13","2004",1182.51415008333
"14","2005",1268.38166291667
"15","2006",1437.019989
"16","2007",1389.47416183333
"17","2008",917.734166416667
"18","2009",1092.46081541667
"19","2010",1270.2033285
"20","2011",1319.34500125
"21","2012",1535.87249741667
"22","2013",1859.03582758333
"23","2014",2051.35084033333
"24","2015",2055.13417541667
"25","2016",2183.01501475
